,0
0,0.9879679144385026
1,0.9759358288770054
2,0.9692513368983956
3,0.9719251336898396
4,0.9799465240641712
5,0.9732620320855616
6,0.9705882352941176
7,0.9812834224598932
8,0.9799465240641712
